CALENDAR DATE,CALENDAR TIME,SYMBO,LAST PRICE,LAST SHARES,SIDE
05/27/09,39960.64587,F2 ZN\M09,117.453125,9,1
05/27/09,39960.64587,F2 ZN\M09,117.453125,8,1
05/27/09,39960.64587,F2 ZN\M09,117.453125,2,1
05/27/09,39960.65282,F2 ZN\M09,117.390625,1,0
05/27/09,39960.65282,F2 ZN\M09,117.390625,10,0
05/27/09,39960.65282,F2 ZN\M09,117.390625,9,0
05/27/09,39960.65282,F2 ZN\M09,117.390625,8,0
05/27/09,39960.65976,F2 ZN\M09,117.484375,1,1
05/27/09,39960.65976,F2 ZN\M09,117.484375,2,1
05/27/09,39960.65976,F2 ZN\M09,117.484375,2,1
05/27/09,39960.65976,F2 ZN\M09,117.484375,6,1
05/27/09,39960.65976,F2 ZN\M09,117.484375,3,1
05/27/09,39960.65976,F2 ZN\M09,117.484375,6,1
05/27/09,39960.65976,F2 ZN\M09,117.484375,3,1
05/27/09,39960.65976,F2 ZN\M09,117.484375,3,1
05/27/09,39960.65976,F2 ZN\M09,117.484375,2,1
05/27/09,39960.66671,F2 ZN\M09,117.4375,2,0
05/27/09,39960.66671,F2 ZN\M09,117.4375,3,0
05/27/09,39960.66671,F2 ZN\M09,117.4375,3,0
05/27/09,39960.66671,F2 ZN\M09,117.4375,6,0
05/27/09,39960.66671,F2 ZN\M09,117.4375,10,0
05/27/09,39960.66671,F2 ZN\M09,117.4375,3,0
05/27/09,39960.68754,F2 ZN\M09,117.265625,11,1
05/27/09,39960.68754,F2 ZN\M09,117.25,16,1
05/27/09,39960.69449,F2 ZN\M09,117.234375,4,0
05/27/09,39960.70142,F2 ZN\M09,117.25,2,0
05/28/09,39961.09032,F2 ZN\M09,117.390625,2,1
05/28/09,39961.09032,F2 ZN\M09,117.390625,5,1
05/28/09,39961.09032,F2 ZN\M09,117.390625,1,1
05/28/09,39961.0973,F2 ZN\M09,117.421875,2,0
05/28/09,39961.1042,F2 ZN\M09,117.484375,2,0
05/28/09,39961.11114,F2 ZN\M09,117.53125,6,1
05/28/09,39961.11114,F2 ZN\M09,117.53125,6,1
05/28/09,39961.11809,F2 ZN\M09,117.578125,1,0
05/28/09,39961.13198,F2 ZN\M09,117.640625,1,0
05/28/09,39961.13893,F2 ZN\M09,117.6875,1,1
05/28/09,39961.14587,F2 ZN\M09,117.625,15,0
05/28/09,39961.14587,F2 ZN\M09,117.625,3,0
05/28/09,39961.14587,F2 ZN\M09,117.625,9,0
05/28/09,39961.15281,F2 ZN\M09,117.6875,5,1
05/28/09,39961.15281,F2 ZN\M09,117.6875,8,1
05/28/09,39961.15281,F2 ZN\M09,117.6875,1,1
05/28/09,39961.15281,F2 ZN\M09,117.6875,13,1
05/28/09,39961.15976,F2 ZN\M09,117.734375,1,1
05/28/09,39961.15976,F2 ZN\M09,117.734375,1,1
05/28/09,39961.1667,F2 ZN\M09,117.828125,1,0
05/28/09,39961.17369,F2 ZN\M09,117.75,28,0
05/28/09,39961.18059,F2 ZN\M09,117.71875,2,1
05/28/09,39961.18754,F2 ZN\M09,117.734375,3,1
05/28/09,39961.19448,F2 ZN\M09,117.734375,2,0
05/28/09,39961.20142,F2 ZN\M09,117.75,1,0
05/28/09,39961.20838,F2 ZN\M09,117.703125,2,1
05/28/09,39961.21532,F2 ZN\M09,117.6875,2,0
05/28/09,39961.22225,F2 ZN\M09,117.65625,1,0
05/28/09,39961.22921,F2 ZN\M09,117.625,10,1
05/28/09,39961.22921,F2 ZN\M09,117.625,1,1
05/28/09,39961.23615,F2 ZN\M09,117.640625,1,1
05/28/09,39961.23615,F2 ZN\M09,117.640625,7,1
05/28/09,39961.23615,F2 ZN\M09,117.640625,2,1
05/28/09,39961.23615,F2 ZN\M09,117.640625,3,1
05/28/09,39961.24309,F2 ZN\M09,117.6875,1,0
05/28/09,39961.25698,F2 ZN\M09,117.671875,3,0
05/28/09,39961.25698,F2 ZN\M09,117.671875,9,0
06/08/09,39972.43067,F2 ZN\U09,113.625,3,0
06/08/09,39972.44447,F2 ZN\U09,113.484375,1,0
06/08/09,39972.45142,F2 ZN\U09,113.546875,1,1
06/08/09,39972.45142,F2 ZN\U09,113.546875,5,1
06/08/09,39972.46816,F2 ZN\U09,113.515625,1,0
06/08/09,39972.47927,F2 ZN\U09,113.65625,1,1
06/08/09,39972.50007,F2 ZN\U09,113.546875,3,0
06/08/09,39972.50007,F2 ZN\U09,113.546875,2,0
06/08/09,39972.50698,F2 ZN\U09,113.5625,2,1
06/08/09,39972.50698,F2 ZN\U09,113.5625,2,1
06/08/09,39972.52151,F2 ZN\U09,113.5,3,0
06/08/09,39972.52781,F2 ZN\U09,113.609375,3,1
06/08/09,39972.52781,F2 ZN\U09,113.609375,1,1
06/08/09,39972.53476,F2 ZN\U09,113.53125,3,0
06/08/09,39972.53476,F2 ZN\U09,113.53125,1,0
06/08/09,39972.54192,F2 ZN\U09,113.453125,1,0
06/08/09,39972.54864,F2 ZN\U09,113.46875,2,1
